stock_name,date,value,count,Individual_buy_count,NonIndividual_buy_count,Individual_sell_count,NonIndividual_sell_count,Individual_buy_volume,NonIndividual_buy_volume,Individual_sell_volume,NonIndividual_sell_volume,Individual_buy_value,NonIndividual_buy_value,Individual_sell_value,NonIndividual_sell_value,adj_max_price,adj_min_price,adj_first_price,adj_last_price,adj_volume,adj_close_price,change
وصنعت,2009-04-29,618000,1,1,0,1,0,1500,0,1500,0,618000,0,618000,0,28,28,28,28,1500,28,0
وصنعت,2009-05-02,1044420,1,1,0,1,0,2535,0,2535,0,1044420,0,1044420,0,28,28,28,28,2535,28,0
وصنعت,2009-05-09,4120000,2,2,0,1,0,10000,0,10000,0,4120000,0,4120000,0,28,28,28,28,10000,28,0
وصنعت,2009-05-10,23072000,12,4,0,2,0,56000,0,56000,0,23072000,0,23072000,0,28,28,28,28,56000,28,0.25
وصنعت,2009-05-11,4130,1,1,0,1,0,10,0,10,0,4130,0,4130,0,28,28,28,28,10,28,0
وصنعت,2009-05-12,6335833,8,1,0,3,0,15341,0,15341,0,6335833,0,6335833,0,28,28,28,28,15341,28,2.9925187032419
وصنعت,2009-05-16,42500,1,1,0,1,0,100,0,100,0,42500,0,42500,0,29,29,29,29,100,29,2.90556900726392
وصنعت,2009-05-17,1567519,2,1,0,2,0,3587,0,3587,0,1567519,0,1567519,0,30,30,30,30,3587,30,2.82352941176471
وصنعت,2009-05-18,33578100,10,2,0,4,0,74618,0,74618,0,33578100,0,33578100,0,31,31,31,31,74618,31,2.97482837528604
وصنعت,2009-05-19,71339503,36,8,0,7,0,154081,0,154081,0,71339503,0,71339503,0,32,32,32,32,154081,31,0.666666666666667
وصنعت,2009-05-30,5042737968,1440,190,2,127,5,8464314,80000,7754314,790000,4996237968,46500000,4576717968,466020000,47,39,42,43,8544314,41,30.242825607064
وصنعت,2009-05-31,167262492,59,17,0,13,1,275556,0,265556,10000,167262492,0,161192492,6070000,42,42,42,42,275556,41,1.01694915254237
وصنعت,2009-06-01,465551432,156,30,1,9,1,633651,125813,259464,500000,388428063,77123369,159051432,306500000,42,42,42,42,759464,42,2.85234899328859
وصنعت,2009-06-02,473496721,154,34,0,18,2,750391,0,627391,123000,473496721,0,395883721,77613000,44,44,44,44,750391,44,2.93637846655791
وصنعت,2009-06-03,486393050,89,39,0,10,1,749450,0,75450,674000,486393050,0,48967050,437426000,45,45,45,45,749450,45,2.85261489698891
وصنعت,2009-06-06,2649949834,717,118,0,146,1,4048298,0,3922798,125500,2649949834,0,2566283834,83666000,46,43,46,44,4048298,45,0.924499229583975
وصنعت,2009-06-07,122129096,41,9,0,9,0,191951,0,191951,0,122129096,0,122129096,0,44,44,44,44,191951,45,-0.763358778625954
وصنعت,2009-06-08,834060636,297,19,1,34,0,1200848,120000,1320848,0,758340636,75720000,834060636,0,44,44,44,44,1320848,44,-2.92307692307692
وصنعت,2009-06-09,1917889612,1117,49,0,35,0,2956028,0,2956028,0,1917889612,0,1917889612,0,45,44,44,45,2956028,45,2.85261489698891
وصنعت,2009-06-10,692884289,212,45,0,35,0,1038598,0,1038598,0,692884289,0,692884289,0,46,46,46,46,1038598,46,2.77349768875193
وصنعت,2009-06-13,618025743,189,16,0,25,0,954965,0,954965,0,618025743,0,618025743,0,45,45,45,45,954965,45,-2.99850074962519
